contact_id,CIC,CNAME,fax
8412_15,8412,Solid Tumours Working Party,390331699295
8414_16,8414,Infectious Diseases Working Party,39045812490
8420_20,8420,Immunobiology Working Party,390755784170
8440_28,8440,Italian National BMT Registry - GITMO,39010355583
10404_109,10404,Fondazione IRCCS Policlinico San Matteo,300382527965
0019_134,0019,Gentium SpA,39031385241
0109_155,0109,Ospedale dei Bambini,39916666001
0139_162,0139,University of Genova,3901035386507976
0157_169,0157,A.R.N.A.S. Civico - Di Cristina,390916664222
0162_174,0162,Centro di Riferimento Oncologico,390434659531
0163_175,0163,Hospital Guglielmo da Saliceto,390523302141
0185_188,0185,Hematology & SCT Unit,390972726217
0210_209,0210,ASL Viterbo Polo Ospedaliero Centrale,390761651236
0226_223,0226,Sez. Ematologia - Centro Trapianti,390372405655
0231_227,0231,S.S.C.V.D Trapianto di Cellule Staminali,390116335759
0232_228,0232,Univ.`La Sapienza`,390644241984
0240_236,0240,Bologna University S.Orsola-Malpighi Hospital,390516364037
0248_243,0248,Ospedale Civile,390854252583
0265_257,0265,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,390255033341
0274_265,0274,Institute G. Gaslini,390103777133
0279_268,0279,Centro Trapianti di Midollo Osseo,390392333523
0285_273,0285,Clinica di Oncoematologia Pediatrica,390498213510
0286_274,0286,BMT unit,390382502250
0287_275,0287,Ospedale S. Camillo,390658704357
0288_276,0288,Spedali Civili - Brescia,390303700852
0294_280,0294,Ospedale di Niguarda Ca` Granda,390264442033
0298_283,0298,Istituto Scientifico Romagnolo,390543739290
0299_284,0299,Hospital San Maurizio,390471908703
0304_289,0304,Ospedale di Careggi,390557947064
0305_290,0305,Onco-Ematologia Pediatrica,390113135487
0306_291,0306,Ospedale Civile,390544285827
0307_292,0307,Universita Cattolica S. Cuore,39063017319
0321_299,0321,U.O.S.A Centro Trapianti e Terapia Cellulare,390577586743
0330_305,0330,University of Ferrara,390532212142
0331_306,0331,European Institute of Oncology,390257489537
0332_307,0332,Ospedale Nord,390994786765
0354_321,0354,Istituto Clinico Humanitas,390282244590
0379_334,0379,Ospedale Santa Maria Goretti,3907736553718
0383_337,0383,International Center for Transplantation in,390620661302
0392_343,0392,Ospedale V. Cervello,00390916884723
0415_360,0415,Presidio Ospedaliero Treviso,390422322542
0419_363,0419,Unità Operativa Di Medicina Interna,390733823390
0455_385,0455,Azienda Ospedaliera Ordine Mauriziano - Umberto I,395082446
0502_390,0502,Ospedale Dell`Angelo,390419657361
0525_406,0525,Istituto per l`Infanzia `IRCCS Burlo Garofolo`,390403785494
0526_407,0526,IRCCS Casa Sollievo della Sofferenza,390882410258
0529_409,0529,Pesaro Hospital,390721364036
0543_421,0543,Uni. Modena Policlinico,390594223257
0544_422,0544,Ospedale San Gerardo,390392333440
0557_429,0557,Fondazione IRCCS Policlinico San Matteo,390382501251
0587_451,0587,Azienda Ospedaliera,39096525082
0606_466,0606,Az. Ospedaliera S. Croce e Carle,390171642937
0616_475,0616,University of Milano,00390223902908
0623_482,0623,Policlinico G.B. Rossi,390458124104
0649_503,0649,Universita degli Studi di Bari,390805428978
0652_506,0652,Hospital C. Panico,390833543561
0658_510,0658,Azienda Ospedaliera Papa Giovanni XXIII,390352674968
0660_511,0660,Arcispedale S. Maria Nuova,390522296694
0669_517,0669,Policlinico Universitario Messina,39902213231
0692_535,0692,Ospedale La Maddalena - Dpt. Oncologico,390916806906
0705_546,0705,Azienda Ospedaliero Universitaria di Udine,390432559661
0741_573,0741,Universitá degli Studi di Brescia,390303388099
0756_586,0756,Rome Transplant Network,390620903221
0766_594,0766,University of Napoli,390817462165
0771_598,0771,Fondazione S. Maugeri,390382592088
0788_610,0788,Azienda Ospedali Riuniti di Ancona,390712183448
0789_611,0789,A.O.R.N. `SAN.G MOSCATI`,390825203235
0790_612,0790,Azienda Ospedaliero Universitaria,390513464664
0791_613,0791,Ospedale `A. Businco` Cagliari,390706095312
0792_614,0792,Azienda Policlinico Vittorio Emanuele,390957435913
0793_615,0793,Ospedale `San Francesco`,390784240463
0795_617,0795,Unità Operativa Oncoematologia Pediatrica,39050993426
0796_618,0796,IRRCS Ospedale Pediatrico Bambino Gesù,390668592292
0797_619,0797,S. Bortolo Hospital ,390444753365
0811_630,0811,Adult and Paediatric Transplant Centre,390706092936
0813_631,0813,Ospedale San Raffaele s.r.l.,390226434760
0825_641,0825,H SS. Antonio e Biagio ,390131261029
0839_647,0839,Ist Naz Tumori - Fondazione Sen G Pascale,390815903819
0853_649,0853,Padua University Hospital,390498211970
0861_652,0861,Ospedale San Carlo,390971613258
0863_654,0863,S.Andrea Hospital,390161593814
0867_657,0867,Ospedale Maggiore della Carità,003903213733832
0870_659,0870,Istituto Di Ematologia,39079228282
0920_675,0920,Perrino Hospital,390831537613
0928_681,0928,Medical School University of Salerno,39089673157
0987_699,0987,Azienda Ospedaliera Universitaria San Martino,390105556891
