contact_id,CIC,CNAME,fax
7407_1,7407,PRST,496963014202
8005_4,8005,EBMT Executive & JACIE Office,34934519583
8401_5,8401,BSBMT Registry,442071888411
8402_6,8402,Swiss Blood Stem Cell Transplantation Group (SBST),41612652735
8403_7,8403,Lymphoma Working Party,496221565813
8404_8,8404,Austrian SCT Registry (ASCTR),431404002511
8405_9,8405,Turkish BM Transplant Registry,903123196
8407_10,8407,DRST Data Office,497311507502
8409_12,8409,Aplastic Anaemia Working Party,4420703464689
8410_13,8410,Autoimmune Diseases Working Party,33142499478
8411_14,8411,Transplant-related Complications and Quality of Life after SCT WP,34932607353
8416_17,8416,Czech Stem Cell Transplantation Registry,420224963118
8417_18,8417,Paediatric Diseases Working Party,431401707000
8419_19,8419,Spanish Haematopoietic Tranplantation Group,34913913383
8421_21,8421,EBMT Paris Study Office / CEREST-TC,33171970488
8422_22,8422,EBMT Study Coordination Office,004971149008723
8423_23,8423,Agence de la Biomédécine,33155936930
8424_24,8424,SFGM-TC Registry,33148226658
8425_25,8425,Dutch National Registry Clinical Trial Center,310107041028
8430_27,8430,UK Paediatric BMT Registry,441173428628
8450_29,8450,EBMT Trials Office,442071888406
10114_36,10114,Kansai Medical University,81728042872
10115_37,10115,H. Lee Moffitt Cancer Center,18137458468
10121_39,10121,Janvossensteeg 38,0715266923
10123_41,10123,Princess Margaret Hospital,4169466585
10127_43,10127,Uilensteele 81-9,31020444641
10133_46,10133,Europdonor Foundation,31715210457
10147_59,10147,Rambam Medical Centre,048543704
10148_60,10148,Hôpital Saint Louis,33142433945
10152_61,10152,IRGHET,33143943239
10164_71,10164,Polish Stem Cell Bank,48224364050
10167_74,10167,Peking University People´s Hospital,008601088324577
10169_76,10169,Ribeirao Preto Medical School University of Sao Paulo,551636022229
10170_77,10170,medical School Ribeirao Preto University of Sao Paulo,551636331144
10217_82,10217,Bachstraat22,31243614277
10218_83,10218,Oncology Institute of Vojvodina,381216613741
10219_84,10219,Fred Hutchinson Cancer Research Center,12066676124
10220_85,10220,Keio University School of Medicine,8133533515
10222_87,10222,Luzerner Kantonsspital,0412055227
10223_88,10223,Robert Bosch Krankenhaus Stuttgart,004971181013547
10224_89,10224,Sant-Louis,0033142499823
10225_90,10225,King Faisal Specialist Hospital & Research Centre,9662667777764823
10227_91,10227,Instituto Nacional de Cancerología,525555734237
10229_93,10229,Department of Hematology,5552469670
10313_94,10313,St James´s Hospital,35314162302
10316_97,10316,Medical University of Vienna,004301404005701
10317_98,10317,Kings College Hospital,02032992632
10318_99,10318,Isala Klinieken,0031384242787
10320_101,10320,UMC Utrecht,31887556241
10322_103,10322,City of Hope,6263018116
10323_104,10323,Westmead Hospital,61296892331
10387_106,10387,Anzak Research Institute,61297679101
10405_110,10405,University of Calgary,4032108176
10406_111,10406,CHRU Besançon,0381668415
10407_112,10407,Radboud University Nijmegen Medical Centre,0031243618873
10408_113,10408,Vanderbilt University,6159361812
10495_117,10495,H. Longtinstr 53,3225440257
10779_121,10779,LUMC / WAKZ,31715240198
10781_123,10781,LUMC,0715263060
10782_124,10782,4 Migdal Eder,97229933359
10783_125,10783,Royal London Hospital,4402035941858
10786_127,10786,Careum Bildungszentrum,41432225200
10787_128,10787,CHRU Besançon,0381668416
10788_129,10788,University of Crete,3028103902778
0012_131,0012,THERAKOS Inc.,411344864111
0014_132,0014,SANOFI ONCOLOGY,310356998683
0015_133,0015,Miltenyi Biotec GmbH,49220485197
0022_135,0022,Alexion Pharma International Sarl,410213184005
0023_136,0023,Neovii Biotech GmbH,49889888816
0026_137,0026,Merck Sharp & Dohme (MSD),19087351685
0027_138,0027,EXEM Consulting,41916496021
0029_140,0029,Clinigen Group Limited,441283494341
0030_141,0030,Sandoz International GmbH,4980244762970
0033_143,0033,Gilead Sciences Europe Ltd.,4402087446773
0034_144,0034,Celgene International SARL,41327298406
0035_145,0035,Medac,4941038006663
0036_146,0036,Kiadis Pharma Netherlands B.V,31203140251
0038_148,0038,Remedy Informatics,18017333301
0040_149,0040,Amgen (Europe) GmbH,41413690405
0042_150,0042,Pierre Fabre Médicament,33149109693
0101_152,0101,Klinikum Osnabrueck,495414056699
0104_153,0104,Klinikum Chemnitz gGmbH,4937133343047
0106_154,0106,Klinikum Ernst von Bergmann,00493312416000
0110_156,0110,Hospital son LLatzer,34871202191
0124_158,0124,ZSIS Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH,4902342993459
0128_159,0128,The Ipswich Hospital NHS Trust,441473703720
0134_160,0134,Universitat Bonn,4922828722635
0142_163,0142,Universitätsmedizin Mannheim,496213834204
0145_164,0145,Robert-Bosch-Krankenhaus,4971181013086
0147_165,0147,St. Marien-Hospital,492381182252
0152_166,0152,Klinikum Augsburg ,00498214003344
0153_167,0153,Asklepios Klinik St. Georg,49401818854226
0156_168,0156,University Hospital Ostrava,420597372149
0158_170,0158,Centre Hospitalier Universitaire La Conception,33491384154
0159_171,0159,University Hospital Merkur,38512431412
0160_172,0160,Hôpital Necker,33144495140
0161_173,0161,Tel Aviv Sourasky Medical Center,97236974629
0164_176,0164,CHR Orléans Hôpital de la source,33238514764
0167_177,0167,National Taiwan University Hospital,886223816716
0168_178,0168,Hacettepe University,903124460843
0169_179,0169,Gazi Universitesi Tip Fakültesi Hastanesi,903122236714
0170_180,0170,Karadeniz Technical University,00904623775526
0171_181,0171,Medical University of Lodz,48426895192
0178_182,0178,Sectia Clinica de Hematolgoie si,40265218739
0179_183,0179,Universidade Federal do Rio de Janeiro,552125622460
0180_184,0180,Hospital Amaral Carvalho,551436021381
0182_186,0182,Gazi University School of Medicine,9003122150143
0183_187,0183,Centre National de Greffe de Moelle ,21671565604
0187_189,0187,Adnan Menderes University Med. Faculty,902562146495
0188_190,0188,Shiraz University of Medical Sciences,00987116285697
0189_191,0189,Klinikum Schwabing,4989306839543811
0190_192,0190,Klinikum Frankfurt (Oder) GmbH,493355484602
0194_194,0194,Centre Hospitalier de Meaux,0164350304
0196_195,0196,University Children`s Hospital,4993120127787
0197_196,0197,Haukeland University Hospital,4755972950
0198_197,0198,Clinic Centre University Sarajevo,38733297160
0199_198,0199,Hopital Victor Dupouy,330134231012
0200_199,0200,St. Antonius Hospital,31306056357
0201_200,0201,Hôpital Necker,33144495070
0202_201,0202,University Hospital,41612654450
0203_202,0203,Leiden University Hospital,31715266755
0204_203,0204,Klinik fuer Innere Medzin III,4973150045655
0205_204,0205,Imperial College ,442087429335
0206_205,0206,Rigshospitalet,4535454841
0207_206,0207,Hopital St. Louis,33142499636
0208_207,0208,University Hospital,41442554568
