city,fax
Spain,34934519583
Spain,34932607353
Spain,34913913383
Spain,34871202191
Spain,34932275484
Spain,34915202326
Spain,34957010429
Spain,34942203450
Spain,34935565601
Spain,34963987820
Spain,34915496670
Spain,0034968369088
Spain,34981178265
Spain,34913908510
Spain,34946006076
Spain,34915290248
Spain,34986816097
Spain,34934893089
Spain,34987222312
Spain,34972200978
Spain,34976561793
Spain,34928449450
Spain,34958020132
Spain,34981951081
Spain,34951030168
Spain,0034848428385
Spain,34932746015
Spain,34943460758007098
Spain,34983420429
Spain,34956032054
Spain,34934978995
Spain,34913368637
Spain,34985107979
Spain,34961246212
Spain,34961246201
Spain,34932033959
Spain,34956002297
Spain,0034971175360
Spain,34923294624
Spain,34911917862
Spain,34915035902
Spain,34917277042
Spain,34969360969
Spain,34948172294
Spain,34955013265
Spain,34915868394
Spain,34941298749
Spain,34944007011
Spain,34932010588
