city,fax
Germany,496963014202
Germany,496221565813
Germany,497311507502
Germany,004971181013547
Germany,49220485197
Germany,49889888816
Germany,4980244762970
Germany,4941038006663
Germany,495414056699
Germany,4937133343047
Germany,00493312416000
Germany,4902342993459
Germany,4922828722635
Germany,496213834204
Germany,4971181013086
Germany,492381182252
Germany,00498214003344
Germany,49401818854226
Germany,4989306839543811
Germany,493355484602
Germany,4993120127787
Germany,4973150045655
Germany,497071293671
Germany,494315975803
Germany,492017235961
Germany,497219743009
Germany,495115328041
Germany,4969630138757326
Germany,497612062205
Germany,49611577313
Germany,496419943429
Germany,4930450566919
Germany,4940741056598
Germany,493455577143
Germany,495119272810
Germany,492418082449
Germany,496312031548
Germany,493916713267
Germany,49401818814904
Germany,494515002410
Germany,493419713059
Germany,492118118853
Germany,494488502679
Germany,492518347828
Germany,023815891553
Germany,498970954242
Germany,004930940152189
Germany,00492035462479
Germany,493834866713
Germany,4936419324237
Germany,4922147854556639
Germany,497071294713
Germany,492331129222
Germany,4962137069496
Germany,49551392914
Germany,498941404879
Germany,493814947422
Germany,49611433012
Germany,493084454021
Germany,494214973308
Germany,4940741053795
Germany,499113983657
Germany,4964215866358
Germany,492118116090
Germany,493455572389
Germany,498962102443
Germany,4940741058054
Germany,495315953757
Germany,492518352804
Germany,49071127872462
Germany,49931201640001
Germany,494414032654
Germany,493641938306
Germany,4920140892506
Germany,4968411623033
Germany,496131175631
Germany,00499419445543
Germany,4930450553925
Germany,493514585362
Germany,4991318535984
Germany,4976127036580
Germany,00492611371991
Germany,493834866323
Germany,494618162022
