city,fax
France,33142499478
France,33171970488
France,33155936930
France,33148226658
France,33142433945
France,33143943239
France,0033142499823
France,0381668415
France,0381668416
France,33149109693
France,33491384154
France,33144495140
France,33238514764
France,0164350304
France,330134231012
France,33144495070
France,33142499636
France,33491223443
France,33381618215
France,33478782740
France,0231272543
France,33149812067
France,33240083250
France,33549443863
France,330557656514
France,33476765661
France,33247473811
France,33473750067
France,33320444330
France,33491386832
France,0033323067248
France,33142499634
France,33142115275
France,33492035895
France,33561777541
France,33241354582
France,330299284161
France,33142115221
France,330472678880
France,33149983714
France,33153104005
France,33156016875
France,33149283375
France,33142499641
France,33478782703
France,330321993732
France,33478864348
France,3304673381239194
France,0033232082283
France,330389647747
France,33322455797
France,33326784040
France,33142411470
France,0033320445963
France,492031574
France,33555056649
