city,fax
Netherlands,004971149008723
Netherlands,310107041028
Netherlands,0715266923
Netherlands,31020444641
Netherlands,31715210457
Netherlands,31243614277
Netherlands,0031384242787
Netherlands,31887556241
Netherlands,0031243618873
Netherlands,31715240198
Netherlands,0715263060
Netherlands,310356998683
Netherlands,31203140251
Netherlands,31306056357
Netherlands,31715266755
Netherlands,31243542080
Netherlands,31887555489
Netherlands,31107041004
Netherlands,31206912231
Netherlands,31534873085
Netherlands,31503615960
Netherlands,31702102209
Netherlands,31384544514
Netherlands,31433876281
Netherlands,31204442601
Netherlands,31205122572
Netherlands,312046368011134
